time,chat
19,ㅋㅋㅋㅋㅋㅋㅋㅋ
19,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
19,입오타가 뭐야?
19,ㅋㅋㅋㅋㅋㅋㅋㅋ
19,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
19,ㅋㅋㅋ
19,근데 우린 알아먹어..
19,그거 컨셉아니었어?
19,근데 대충 우린 알아먹어
19,ㅋㅋㅋㅋㅋㅋㅋ
19,이쯤되면 대충 해석해 먹...
19,ㄴㅋㅋㅋㅋㅋ
20,컨셉이 아닌듯욧?????ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20,ㅋㅋㅋㅋㅋㅋㅋㅋ
20,하긴 안똑똑하긴하지
20,우리는 대충 다 알아먹어요
20,?
20,??
20,척?
20,척?
20,??
20,척?
20,?
20,그건 진짜잖...
20,척?
20,???
20,멍청한.. 거아니었어?
20,갈고리 수집가 시네 ㅋㅋ
20,지각이?
20,척????
20,그냥 멍청한거지 무슨 척이야
20,지각도 진짜잖...
20,척..?
20,지각이?
20,makiyFuku makiyFuku
20,?
20,지각은 진짜잖아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20,ㅋㅋ
20,?
20,유튭 에반데 ㅋ
20,???
20,지각이ㅠ컨셉??..
20,53이요?
20,근데 왜그럼?
20,그 사이트 ㅋㅋ
20,아.. 유튭방패..
20,1.53이겠지
20,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20,멘사 시험보실
20,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 예? ㅋㅋㅋㅋㅋㅋㅋ
20,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
20,?
20,?
20,근데 안일어나잖아요
20,???
21,이거 능지 테스트 해야겠는데?
21,못이라뇨 안이지
21,알람소리를 더 키워요
21,못들을뿐 ㅋㅋㅋㅋㅋ
21,사진을 배경화면으로 해놧누
21,저게 아이큐 153이 하는 발언인가
21,>> 안 <<
21,의지의 차이 ㅋㅋㅋㅋㅋ
21,ㅇ0ㅇ
21,휴하
21,컨샙이라면 안이라고 해야죠
21,아예 알람을 못듣는거야?
21,휴하
21,휴하
21,쉴드를 걷어차시메
21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,사진 ㅋㅋㅋㅋㅋ
21,ㅋㅋㅋㅋㅋㅋ
21,오늘... 그럼 아침에 깨신거 같던데.. 왜 지금 오신거에요...?
21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,ㅋㅋ
21,ㅋㅋㅋ
21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,ㅋㅋㅋㅋㅋㅋㅋㅋ
21,번복 ㅋㅋㅋㅋ
21,이걸 안하네 ㅋㅋ
21,ㅋㅋ
21,ㅋㅋㅋㅋ
21,이걸ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
21,저는 막이님 방송볼려고 10시 30분에 알람듣잖아마자 준비하고 있는데
21,키는 엄청 큰데
22,160대아니었음?
22,168
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
22,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
